Fracture ray,11.3,9969909
World Ender,11.2,9959411
Grievous Lady,11.3,9925523
Tempestissimo,11.5,9874739
Pentiment,11.4,9892381
Dantalion,10.9,9984472
Aegleseeker,11.1,9944073
temptation,10.9,9982831
蜘蛛丝,10.8,10001142
WV,10.8,9997923
buchigire berserker,10.9,9976542
Arcana Eden,11.4,9875435
业善,10.9,9975163
Testify,12,9722770
Ringed genesis,10.8,9983616
AM,10.7,10001201
Halcyon,10.7,10001195
SAIKYO Stronger,11,9939870
Primitive lights,10.7,9998163
Cyaegha,10.8,9972086
衔尾蛇,10.7,9990343
II,10.8,9967704
IS,10.9,9943326
Singularity,10.7,9982949
GENOCIDER,10.7,9981176
REKKA RESONANCE,10.7,9980496
CHAOS,10.9,9939157
Overwhelm,10.6,9997185
LAMIA,10.9,9936331
#1f1e33,10.9,9931623
光速,10.8,9947077
Attr,10.6,9983896
